name,img,name
Subset1_Train_91,Subset1_Train_91.tiff,Subset1_Train_91
Subset1_Train_76,Subset1_Train_76.tiff,Subset1_Train_76
Subset1_Train_45,Subset1_Train_45.tiff,Subset1_Train_45
Subset1_Train_57,Subset1_Train_57.tiff,Subset1_Train_57
Subset1_Train_37,Subset1_Train_37.tiff,Subset1_Train_37
Subset1_Train_39,Subset1_Train_39.tiff,Subset1_Train_39
Subset1_Train_82,Subset1_Train_82.tiff,Subset1_Train_82
Subset1_Train_89,Subset1_Train_89.tiff,Subset1_Train_89
Subset1_Train_50,Subset1_Train_50.tiff,Subset1_Train_50
Subset1_Train_34,Subset1_Train_34.tiff,Subset1_Train_34
Subset1_Train_3,Subset1_Train_3.tiff,Subset1_Train_3
Subset1_Train_78,Subset1_Train_78.tiff,Subset1_Train_78
Subset1_Train_35,Subset1_Train_35.tiff,Subset1_Train_35
Subset1_Train_2,Subset1_Train_2.tiff,Subset1_Train_2
Subset1_Train_8,Subset1_Train_8.tiff,Subset1_Train_8
Subset1_Train_72,Subset1_Train_72.tiff,Subset1_Train_72
Subset1_Train_61,Subset1_Train_61.tiff,Subset1_Train_61
Subset1_Train_84,Subset1_Train_84.tiff,Subset1_Train_84
Subset1_Train_7,Subset1_Train_7.tiff,Subset1_Train_7
Subset1_Train_77,Subset1_Train_77.tiff,Subset1_Train_77
Subset1_Train_47,Subset1_Train_47.tiff,Subset1_Train_47
Subset1_Train_59,Subset1_Train_59.tiff,Subset1_Train_59
Subset1_Train_63,Subset1_Train_63.tiff,Subset1_Train_63
Subset1_Train_64,Subset1_Train_64.tiff,Subset1_Train_64
Subset1_Train_68,Subset1_Train_68.tiff,Subset1_Train_68
