,img,img_path,img_annotation,img_pretrain,ann_file,pretrain_file
10,Subset3_Train_22_Leica,/data/acharl15/gleason_grading/Subset3_Train_22_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_22_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_22_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
11,Subset3_Train_17_Leica,/data/acharl15/gleason_grading/Subset3_Train_17_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_17_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_17_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
12,Subset3_Train_11_KFBio,/data/acharl15/gleason_grading/Subset3_Train_11_KFBio.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_11_KFBio/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_11_KFBio/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
13,Subset1_Train_14,/data/acharl15/gleason_grading/Subset1_Train_14.tiff,,,,
14,Subset3_Train_20_Philips,/data/acharl15/gleason_grading/Subset3_Train_20_Philips.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_20_Philips/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_20_Philips/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
15,Subset1_Train_55,/data/acharl15/gleason_grading/Subset1_Train_55.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_55/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_55/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
16,Subset3_Train_2_KFBio,/data/acharl15/gleason_grading/Subset3_Train_2_KFBio.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_2_KFBio/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_2_KFBio/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
17,Subset1_Train_81,/data/acharl15/gleason_grading/Subset1_Train_81.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_81/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_81/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
18,Subset1_Train_5,/data/acharl15/gleason_grading/Subset1_Train_5.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_5/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_5/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
19,Subset3_Train_21_Akoya,/data/acharl15/gleason_grading/Subset3_Train_21_Akoya.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_21_Akoya/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_21_Akoya/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
20,Subset1_Train_20,/data/acharl15/gleason_grading/Subset1_Train_20.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_20/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_20/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
21,Subset3_Train_12_Zeiss,/data/acharl15/gleason_grading/Subset3_Train_12_Zeiss.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_12_Zeiss/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_12_Zeiss/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
22,Subset3_Train_11_Olympus,/data/acharl15/gleason_grading/Subset3_Train_11_Olympus.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_11_Olympus/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_11_Olympus/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
23,Subset3_Train_15_Leica,/data/acharl15/gleason_grading/Subset3_Train_15_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_15_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_15_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
24,Subset1_Train_40,/data/acharl15/gleason_grading/Subset1_Train_40.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_40/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_40/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
25,Subset3_Train_2_Philips,/data/acharl15/gleason_grading/Subset3_Train_2_Philips.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_2_Philips/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_2_Philips/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
26,Subset1_Train_33,/data/acharl15/gleason_grading/Subset1_Train_33.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_33/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_33/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
27,Subset3_Train_1_Leica,/data/acharl15/gleason_grading/Subset3_Train_1_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_1_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_1_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
28,Subset3_Train_12_Philips,/data/acharl15/gleason_grading/Subset3_Train_12_Philips.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_12_Philips/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_12_Philips/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
29,Subset1_Train_24,/data/acharl15/gleason_grading/Subset1_Train_24.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_24/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_24/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
30,Subset3_Train_18_Akoya,/data/acharl15/gleason_grading/Subset3_Train_18_Akoya.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_18_Akoya/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_18_Akoya/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
31,Subset1_Train_56,/data/acharl15/gleason_grading/Subset1_Train_56.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_56/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_56/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
32,Subset3_Train_24_Leica,/data/acharl15/gleason_grading/Subset3_Train_24_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_24_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_24_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
33,Subset3_Train_26_Philips,/data/acharl15/gleason_grading/Subset3_Train_26_Philips.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_26_Philips/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_26_Philips/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
34,Subset1_Train_104,/data/acharl15/gleason_grading/Subset1_Train_104.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_104/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_104/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
35,Subset3_Train_1_Olympus,/data/acharl15/gleason_grading/Subset3_Train_1_Olympus.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_1_Olympus/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_1_Olympus/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
36,Subset3_Train_22_Akoya,/data/acharl15/gleason_grading/Subset3_Train_22_Akoya.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_22_Akoya/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_22_Akoya/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
37,Subset1_Train_79,/data/acharl15/gleason_grading/Subset1_Train_79.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_79/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_79/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
38,Subset3_Train_25_Philips,/data/acharl15/gleason_grading/Subset3_Train_25_Philips.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_25_Philips/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_25_Philips/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
39,Subset3_Train_5_Zeiss,/data/acharl15/gleason_grading/Subset3_Train_5_Zeiss.tiff,,,,
40,Subset1_Train_36,/data/acharl15/gleason_grading/Subset1_Train_36.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_36/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_36/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
41,Subset1_Train_6,/data/acharl15/gleason_grading/Subset1_Train_6.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_6/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_6/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
42,Subset2_Train_31,/data/acharl15/gleason_grading/Subset2_Train_31.tiff,/data/acharl15/gleason_grading/patch/Subset2_Train_31/,/data/acharl15/gleason_grading/pretrain/Subset2_Train_31/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
43,Subset1_Train_13,/data/acharl15/gleason_grading/Subset1_Train_13.tiff,,,,
44,Subset1_Train_51,/data/acharl15/gleason_grading/Subset1_Train_51.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_51/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_51/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
45,Subset3_Train_23_Leica,/data/acharl15/gleason_grading/Subset3_Train_23_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_23_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_23_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
46,Subset3_Train_12_Olympus,/data/acharl15/gleason_grading/Subset3_Train_12_Olympus.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_12_Olympus/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_12_Olympus/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
47,Subset3_Train_11_Zeiss,/data/acharl15/gleason_grading/Subset3_Train_11_Zeiss.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_11_Zeiss/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_11_Zeiss/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
48,Subset1_Train_38,/data/acharl15/gleason_grading/Subset1_Train_38.tiff,/data/acharl15/gleason_grading/patch/Subset1_Train_38/,/data/acharl15/gleason_grading/pretrain/Subset1_Train_38/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'normalized_class.npy', 'class.npy', 'normalized_feature.npy', 'augment1_feature.npy', 'augment3_feature.npy', 'feature.npy', 'augment1_class.npy', 'augment3_class.npy']"
49,Subset3_Train_9_KFBio,/data/acharl15/gleason_grading/Subset3_Train_9_KFBio.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_9_KFBio/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_9_KFBio/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
50,Subset3_Train_8_Leica,/data/acharl15/gleason_grading/Subset3_Train_8_Leica.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_8_Leica/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_8_Leica/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
51,Subset3_Train_25_Zeiss,/data/acharl15/gleason_grading/Subset3_Train_25_Zeiss.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_25_Zeiss/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_25_Zeiss/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
52,Subset3_Train_25_KFBio,/data/acharl15/gleason_grading/Subset3_Train_25_KFBio.tiff,/data/acharl15/gleason_grading/patch/Subset3_Train_25_KFBio/,/data/acharl15/gleason_grading/pretrain/Subset3_Train_25_KFBio/,"['patch_mask.jpg', 'patch_mask_Stroma.jpg', 'patch_mask_Normal.jpg', 'patch_mask_G5.jpg', 'patch_mask_G3.jpg', 'patch_mask_G4.jpg']","['augment2_feature.npy', 'augment2_class.npy', 'class.npy', 'augment3_feature.npy', 'feature.npy', 'augment3_class.npy']"
